,Timestamp,ID,Age,Gender,Handedness,Response,ReactionTime,Stimulus,Rotation,Familiarity,Changed,Accuracy
40,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,change,1.0054638699948555,stimuli/9_changed_unfamiliar_90rotation.jpg,90,0,1,1
41,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,1.603570478997426,stimuli/9_unchanged_unfamiliar_90rotation.jpg,90,0,0,1
42,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,change,0.8558009219996165,stimuli/4_changed_familiar_0rotation.jpg,0,1,1,1
43,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,change,1.408045028001652,stimuli/6_changed_unfamiliar_90rotation.jpg,90,0,1,1
44,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,change,1.6117368569975952,stimuli/4_changed_familiar_90rotation.jpg,90,1,1,1
45,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,1.108656764990883,stimuli/8_unchanged_unfamiliar_180rotation.jpg,180,0,0,1
46,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,1.259011971007567,stimuli/1_unchanged_familiar_90rotation.jpg,90,1,0,1
47,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,1.5828471260028891,stimuli/8_unchanged_unfamiliar_0rotation.jpg,0,0,0,1
48,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,change,1.476202457997715,stimuli/7_changed_unfamiliar_90rotation.jpg,90,0,1,1
49,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,change,1.1029460210120305,stimuli/10_changed_unfamiliar_180rotation.jpg,180,0,1,1
50,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,2.3995755089999875,stimuli/1_unchanged_familiar_180rotation.jpg,180,1,0,1
51,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,1.7844930900027975,stimuli/10_unchanged_unfamiliar_180rotation.jpg,180,0,0,1
52,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,1.0964001219981583,stimuli/1_unchanged_familiar_0rotation.jpg,0,1,0,1
53,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,change,1.178208798999549,stimuli/7_changed_unfamiliar_0rotation.jpg,0,0,1,1
54,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,change,1.1478210210043471,stimuli/10_changed_unfamiliar_0rotation.jpg,0,0,1,1
55,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,3.6229482290073065,stimuli/2_unchanged_familiar_180rotation.jpg,180,1,0,1
56,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,3.087253225996392,stimuli/8_unchanged_unfamiliar_90rotation.jpg,90,0,0,1
57,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,2.1269408729858696,stimuli/unchanged_unfamiliar_0rotation(10).jpg,0,0,0,0
58,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,change,3.90078345600341,stimuli/5_changed_familiar_180rotation.jpg,180,1,1,1
59,2023-02-15_09h50.37.825,Laurits887,22,male,right-handed,no_change,2.1199045270041097,stimuli/6_unchanged_unfamiliar_90rotation.jpg,90,0,0,1
